NCM8,NCM,IPI_raw,IPI_rate
01012100,0101.21.00,NT,0.0
01012900,0101.29.00,NT,0.0
01013000,0101.30.00,NT,0.0
01019000,0101.90.00,NT,0.0
01022110,0102.21.10,NT,0.0
01022190,0102.21.90,NT,0.0
01022911,0102.29.11,NT,0.0
01022919,0102.29.19,NT,0.0
01022990,0102.29.90,NT,0.0
01023110,0102.31.10,NT,0.0
01023190,0102.31.90,NT,0.0
01023911,0102.39.11,NT,0.0
01023919,0102.39.19,NT,0.0
01023990,0102.39.90,NT,0.0
01029000,0102.90.00,NT,0.0
01031000,0103.10.00,NT,0.0
01039100,0103.91.00,NT,0.0
01039200,0103.92.00,NT,0.0
01041011,0104.10.11,NT,0.0
01041019,0104.10.19,NT,0.0
01041090,0104.10.90,NT,0.0
01042010,0104.20.10,NT,0.0
01042090,0104.20.90,NT,0.0
01051110,0105.11.10,NT,0.0
01051190,0105.11.90,NT,0.0
01051200,0105.12.00,NT,0.0
01051300,0105.13.00,NT,0.0
01051400,0105.14.00,NT,0.0
01051500,0105.15.00,NT,0.0
01059400,0105.94.00,NT,0.0
01059900,0105.99.00,NT,0.0
01061100,0106.11.00,NT,0.0
01061200,0106.12.00,,
01061300,0106.13.00,NT,0.0
01061400,0106.14.00,NT,0.0
01061900,0106.19.00,NT,0.0
01062000,0106.20.00,NT,0.0
01063100,0106.31.00,NT,0.0
01063200,0106.32.00,NT,0.0
01063310,0106.33.10,NT,0.0
01063390,0106.33.90,NT,0.0
01063900,0106.39.00,NT,0.0
01064100,0106.41.00,NT,0.0
01064900,0106.49.00,NT,0.0
01069000,0106.90.00,NT,0.0
02011000,0201.10.00,,
02012010,0201.20.10,,
02012020,0201.20.20,,
02012090,0201.20.90,,
02013000,0201.30.00,,
02021000,0202.10.00,,
02022010,0202.20.10,,
02022020,0202.20.20,,
02022090,0202.20.90,,
02023000,0202.30.00,,
02031100,0203.11.00,,
02031200,0203.12.00,,
02031900,0203.19.00,,
02032100,0203.21.00,,
02032200,0203.22.00,,
02032900,0203.29.00,,
02041000,0204.10.00,,
02042100,0204.21.00,,
02042200,0204.22.00,,
02042300,0204.23.00,,
02043000,0204.30.00,,
02044100,0204.41.00,,
02044200,0204.42.00,,
02044300,0204.43.00,,
02045000,0204.50.00,,
02050000,0205.00.00,,
02061000,0206.10.00,,
02062100,0206.21.00,,
02062200,0206.22.00,,
02062910,0206.29.10,,
02062990,0206.29.90,,
02063000,0206.30.00,,
02064100,0206.41.00,,
02064900,0206.49.00,,
02068000,0206.80.00,,
02069000,0206.90.00,,
02071100,0207.11.00,,
02071200,0207.12.00,,
02071300,0207.13.00,,
02071400,0207.14.00,,
02072400,0207.24.00,,
02072500,0207.25.00,,
02072600,0207.26.00,,
02072700,0207.27.00,,
02074100,0207.41.00,,
02074200,0207.42.00,,
02074300,0207.43.00,,
02074400,0207.44.00,,
02074500,0207.45.00,,
02075100,0207.51.00,,
02075200,0207.52.00,,
02075300,0207.53.00,,
02075400,0207.54.00,,
02075500,0207.55.00,,
02076000,0207.60.00,,
02081000,0208.10.00,,
02083000,0208.30.00,,
02084000,0208.40.00,,
02085000,0208.50.00,,
02086000,0208.60.00,,
02089000,0208.90.00,,
02091011,0209.10.11,,
02091019,0209.10.19,,
02091021,0209.10.21,,
02091029,0209.10.29,,
02099000,0209.90.00,,
02101100,0210.11.00,,
02101200,0210.12.00,,
02101900,0210.19.00,,
02102000,0210.20.00,,
02109100,0210.91.00,,
02109200,0210.92.00,,
02109300,0210.93.00,,
02109911,0210.99.11,,
02109919,0210.99.19,,
02109920,0210.99.20,,
02109930,0210.99.30,,
02109940,0210.99.40,NT,0.0
02109990,0210.99.90,,
03011110,0301.11.10,NT,0.0
03011190,0301.11.90,NT,0.0
03011900,0301.19.00,NT,0.0
03019110,0301.91.10,NT,0.0
03019190,0301.91.90,NT,0.0
03019210,0301.92.10,NT,0.0
03019290,0301.92.90,NT,0.0
03019310,0301.93.10,NT,0.0
03019390,0301.93.90,NT,0.0
03019410,0301.94.10,NT,0.0
03019490,0301.94.90,NT,0.0
03019510,0301.95.10,NT,0.0
03019590,0301.95.90,NT,0.0
03019911,0301.99.11,NT,0.0
03019912,0301.99.12,NT,0.0
03019919,0301.99.19,NT,0.0
03019991,0301.99.91,NT,0.0
03019992,0301.99.92,NT,0.0
03019999,0301.99.99,NT,0.0
03021100,0302.11.00,,
03021300,0302.13.00,,
03021400,0302.14.00,,
03021900,0302.19.00,,
03022100,0302.21.00,,
03022200,0302.22.00,,
03022300,0302.23.00,,
03022400,0302.24.00,,
03022900,0302.29.00,,
03023100,0302.31.00,,
03023200,0302.32.00,,
03023300,0302.33.00,,
03023400,0302.34.00,,
03023500,0302.35.00,,
03023600,0302.36.00,,
03023900,0302.39.00,,
03024100,0302.41.00,,
03024210,0302.42.10,,
03024290,0302.42.90,,
03024300,0302.43.00,,
03024400,0302.44.00,,
03024500,0302.45.00,,
03024600,0302.46.00,,
03024700,0302.47.00,,
03024910,0302.49.10,,
03024990,0302.49.90,,
03025100,0302.51.00,,
03025200,0302.52.00,,
03025300,0302.53.00,,
03025400,0302.54.00,,
03025500,0302.55.00,,
03025600,0302.56.00,,
03025900,0302.59.00,,
03027100,0302.71.00,,
03027210,0302.72.10,,
03027290,0302.72.90,,
03027300,0302.73.00,,
03027400,0302.74.00,,
03027900,0302.79.00,,
03028100,0302.81.00,,
03028200,0302.82.00,,
03028310,0302.83.10,,
03028320,0302.83.20,,
03028400,0302.84.00,,
03028500,0302.85.00,,
03028910,0302.89.10,,
03028921,0302.89.21,,
03028922,0302.89.22,,
03028923,0302.89.23,,
03028924,0302.89.24,,
03028931,0302.89.31,,
03028932,0302.89.32,,
03028933,0302.89.33,,
03028934,0302.89.34,,
03028935,0302.89.35,,
03028936,0302.89.36,,
03028937,0302.89.37,,
03028938,0302.89.38,,
03028941,0302.89.41,,
03028942,0302.89.42,,
03028943,0302.89.43,,
03028944,0302.89.44,,
03028945,0302.89.45,,
03028990,0302.89.90,,
03029100,0302.91.00,,
03029200,0302.92.00,,
03029900,0302.99.00,,
03031100,0303.11.00,,
03031200,0303.12.00,,
03031300,0303.13.00,,
03031400,0303.14.00,,
03031900,0303.19.00,,
03032300,0303.23.00,,
03032410,0303.24.10,,
03032490,0303.24.90,,
03032500,0303.25.00,,
03032600,0303.26.00,,
03032900,0303.29.00,,
03033100,0303.31.00,,
03033200,0303.32.00,,
03033300,0303.33.00,,
03033400,0303.34.00,,
03033900,0303.39.00,,
03034100,0303.41.00,,
03034200,0303.42.00,,
03034300,0303.43.00,,
03034400,0303.44.00,,
03034500,0303.45.00,,
03034600,0303.46.00,,
03034900,0303.49.00,,
03035100,0303.51.00,,
03035300,0303.53.00,,
03035400,0303.54.00,,
03035500,0303.55.00,,
03035600,0303.56.00,,
03035700,0303.57.00,,
03035910,0303.59.10,,
03035920,0303.59.20,,
03035990,0303.59.90,,
03036300,0303.63.00,,
03036400,0303.64.00,,
03036500,0303.65.00,,
03036600,0303.66.00,,
03036700,0303.67.00,,
03036800,0303.68.00,,
03036910,0303.69.10,,
03036990,0303.69.90,,
03038111,0303.81.11,,
03038112,0303.81.12,,
03038113,0303.81.13,,
03038114,0303.81.14,,
03038119,0303.81.19,,
03038190,0303.81.90,,
03038200,0303.82.00,,
03038311,0303.83.11,,
03038319,0303.83.19,,
03038321,0303.83.21,,
03038329,0303.83.29,,
03038400,0303.84.00,,
03038910,0303.89.10,,
03038920,0303.89.20,,
03038932,0303.89.32,,
03038933,0303.89.33,,
03038941,0303.89.41,,
03038942,0303.89.42,,
03038943,0303.89.43,,
03038944,0303.89.44,,
03038945,0303.89.45,,
03038946,0303.89.46,,
03038951,0303.89.51,,
03038952,0303.89.52,,
03038953,0303.89.53,,
03038954,0303.89.54,,
03038955,0303.89.55,,
03038956,0303.89.56,,
03038961,0303.89.61,,
03038962,0303.89.62,,
03038963,0303.89.63,,
03038964,0303.89.64,,
03038965,0303.89.65,,
03038990,0303.89.90,,
03039100,0303.91.00,,
03039200,0303.92.00,,
03039910,0303.99.10,,
03039920,0303.99.20,,
03039990,0303.99.90,,
03043100,0304.31.00,,
03043210,0304.32.10,,
03043290,0304.32.90,,
03043300,0304.33.00,,
03043900,0304.39.00,,
03044100,0304.41.00,,
03044200,0304.42.00,,
03044300,0304.43.00,,
03044400,0304.44.00,,
03044500,0304.45.00,,
03044600,0304.46.00,,
03044700,0304.47.00,,
03044800,0304.48.00,,
03044910,0304.49.10,,
03044920,0304.49.20,,
03044990,0304.49.90,,
03045100,0304.51.00,,
03045200,0304.52.00,,
03045300,0304.53.00,,
03045400,0304.54.00,,
03045500,0304.55.00,,
03045600,0304.56.00,,
03045700,0304.57.00,,
03045900,0304.59.00,,
03046100,0304.61.00,,
03046210,0304.62.10,,
03046290,0304.62.90,,
03046300,0304.63.00,,
03046900,0304.69.00,,
03047100,0304.71.00,,
03047200,0304.72.00,,
03047300,0304.73.00,,
03047400,0304.74.00,,
03047500,0304.75.00,,
03047900,0304.79.00,,
03048100,0304.81.00,,
03048200,0304.82.00,,
03048300,0304.83.00,,
03048400,0304.84.00,,
03048510,0304.85.10,,
03048520,0304.85.20,,
03048600,0304.86.00,,
03048700,0304.87.00,,
03048810,0304.88.10,,
03048890,0304.88.90,,
03048910,0304.89.10,,
03048920,0304.89.20,,
03048930,0304.89.30,,
03048990,0304.89.90,,
03049100,0304.91.00,,
03049211,0304.92.11,,
03049212,0304.92.12,,
03049219,0304.92.19,,
03049221,0304.92.21,,
03049222,0304.92.22,,
